,old_index,sf,longitude,latitude,mean_hood_ppsf
0,0,2691,-122.50965,37.78028,708.0442045746595
1,1,2437,-122.50929,37.762608,720.5559673832468
2,2,2597,-122.50929,37.762608,707.338593974175
3,3,1312,-122.50923999999999,37.77733,1004.6220772158782
4,4,3307,-122.50918999999999,37.776695000000004,683.0856026906802
5,6,1168,-122.50918600000001,37.761005,858.8571428571428
6,8,873,-122.50908000000001,37.759479999999996,1077.4774774774774
7,12,1328,-122.509056,37.774612,1025.0371839365393
8,13,2200,-122.50905,37.774677000000004,775.3144654088051
9,14,1368,-122.50903999999998,37.774418,961.7740749816221
10,19,1275,-122.50901999999999,37.774291999999996,1020.0991189427313
11,20,1523,-122.50901,37.773907,958.0217488789237
12,21,3172,-122.50901,37.77397,746.9706983917163
13,22,1065,-122.508995,37.773907,990.6976744186046
14,24,1180,-122.50896499999999,37.77352,1020.0991189427313
15,25,1180,-122.50896499999999,37.77352,1020.0991189427313
16,26,1125,-122.50883999999999,37.75612,837.6585928489043
17,27,1965,-122.508835,37.771725,770.5069124423964
18,28,1832,-122.50878999999999,37.755703000000004,768.9282202556539
19,29,1188,-122.50877,37.755542999999996,864.8272017837236
20,30,1843,-122.508766,37.779903000000004,906.9139844617092
21,31,1512,-122.50873999999999,37.779892,893.9537417763158
22,32,1134,-122.50868,37.779003,1144.4855206407885
23,33,1134,-122.50868,37.779003,1144.4855206407885
24,34,1702,-122.508606,37.778996,949.8170828378913
25,35,1012,-122.50856999999999,37.775208,990.6976744186046
26,36,1372,-122.50856999999999,37.779007,1019.0577024880889
27,37,912,-122.50856,37.753840000000004,1025.3756260434056
28,39,1541,-122.50856,37.762170000000005,809.3562409439039
29,40,1630,-122.50851999999999,37.776123,934.5931958762886
30,41,1125,-122.50851999999999,37.779907,1099.685804055984
31,43,1002,-122.50845,37.75845,909.7072419106316
32,44,1630,-122.50838999999999,37.77613,934.5931958762886
33,45,1719,-122.50837,37.752396000000005,694.2932042750555
34,47,1579,-122.50832,37.779274,949.8170828378913
35,48,1475,-122.508316,37.77918,1011.1085921559738
36,49,961,-122.50831000000001,37.7636,936.8067226890756
37,50,1100,-122.50831000000001,37.76388,858.8571428571428
38,51,1025,-122.50831000000001,37.775208,990.6976744186046
39,52,2054,-122.50831000000001,37.776146000000004,790.4689863842663
40,53,1912,-122.50828600000001,37.756584000000004,768.9282202556539
41,54,1680,-122.50828600000001,37.778763,949.8170828378913
42,55,2191,-122.50828600000001,37.778763,804.9924357034796
43,56,1165,-122.50827,37.758446,851.2592592592592
44,58,995,-122.50826,37.75163,1036.055469953775
45,59,1157,-122.50826,37.76297,904.8196423158532
46,60,905,-122.508255,37.762935999999996,1077.4774774774774
47,61,2300,-122.508255,37.7783,806.1836640516843
48,64,2205,-122.50823000000001,37.777972999999996,806.1836640516843
49,65,1494,-122.50822,37.777775,985.4542646709432
50,66,1494,-122.50822,37.777775,985.4542646709432
51,67,1494,-122.5082,37.777576,985.4542646709432
52,71,2100,-122.50815,37.761562,660.6558678735906
53,72,1318,-122.50813000000001,37.761115999999994,910.981697171381
54,73,3450,-122.50813000000001,37.776585,873.7598704191132
55,74,995,-122.508125,37.750565,946.4615384615386
56,76,1000,-122.50811999999999,37.75658,888.3076923076924
57,78,1000,-122.50811999999999,37.75658,888.3076923076924
58,79,920,-122.50811000000002,37.761055,997.1428571428571
59,80,1930,-122.5081,37.776398,791.4167051222889
60,81,1025,-122.508095,37.750313,982.9372333942717
61,82,1160,-122.50806399999999,37.756584000000004,837.6585928489043
62,83,2260,-122.50804,37.77558,790.4689863842663
63,84,1145,-122.50803,37.775486,1010.9140518417462
64,85,800,-122.508026,37.75967,1164.1271223334786
65,86,1036,-122.50802,37.759766,898.5507246376811
66,87,2000,-122.50801000000001,37.774982,760.2201257861635
67,88,2290,-122.50799599999999,37.754715000000004,673.4762176018229
68,89,1334,-122.50799599999999,37.774982,1025.0371839365393
69,90,2060,-122.50798999999999,37.774788,760.2201257861635
70,91,4520,-122.50798,37.749485,869.2339205243752
71,92,1760,-122.50798,37.774532,951.8465650366263
72,93,1168,-122.50796499999998,37.758934,851.2592592592592
73,94,1168,-122.50796499999998,37.759,851.2592592592592
74,95,2590,-122.50796000000001,37.774277000000005,619.5096368165727
75,96,921,-122.50793,37.75472,895.6666666666666
76,97,2080,-122.50793,37.77405,775.3144654088051
77,98,1475,-122.50792,37.773926,930.4211642705634
78,99,1410,-122.50791000000001,37.773796000000004,998.1660990306524
79,100,1373,-122.50788999999999,37.75659,909.2012624423403
80,101,1320,-122.50788,37.75784,838.1228578961245
81,103,1275,-122.50786000000001,37.757453999999996,838.1228578961245
82,104,1450,-122.50785,37.75736,875.451698385931
83,105,1195,-122.50785,37.75739,845.5329807959921
84,106,1580,-122.50783999999999,37.772696999999994,937.3653414882772
85,107,1960,-122.50783500000001,37.772729999999996,770.5069124423964
86,108,1080,-122.507805,37.772316,973.39593114241
87,109,1080,-122.5078,37.756355,876.0099440646363
88,110,1554,-122.50778000000001,37.771834999999996,937.3653414882772
89,111,1694,-122.507774,37.771774,937.3653414882772
90,112,903,-122.50776,37.755875,936.8067226890756
91,113,1035,-122.50776,37.75607,891.8399999999999
92,114,1759,-122.50775,37.754726,770.509977827051
93,115,1758,-122.50775,37.75594,768.9282202556539
94,116,1011,-122.50774399999999,37.747684,1043.84
95,117,697,-122.50774399999999,37.755590000000005,1197.0227670753065
96,118,697,-122.50774399999999,37.755590000000005,1197.0227670753065
97,119,1353,-122.50774399999999,37.755875,909.2012624423403
98,120,1175,-122.50773000000001,37.755653,876.0099440646363
99,122,1418,-122.50771,37.755363,883.5954001408121
